subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Personals,Anong gusto mong sabihin kay crush?,,21,sa yo crush.... siguro yung kaninang eye contact natin ay senyales na para lumayo ako sa yo.......,"Nov 15, 2012",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,24,Tae ka friend zoned ako sayo. Huhu. Ako naman pansinin mo!!!,"Dec 4, 2012",kamotengbangag, 0.05, 148,,,,,
Personals,Anong gusto mong sabihin kay crush?,,30,"kahapon crush lang kita, ngayon mahal na natin ang isa't-isa.","Dec 5, 2012",caffeine_kittie, 2.25," 8,532",,,,,
Personals,Anong gusto mong sabihin kay crush?,,23,wala akong sasabihin...,"Nov 16, 2012",banwa, 0.05, 86,,,,,
Personals,Anong gusto mong sabihin kay crush?,,29,yan ang banat. hehehe,"Dec 5, 2012",banwa, 0.05, 86,Kung alam mo lang na gusto kita....,HunkyKalel,,,
Personals,Anong gusto mong sabihin kay crush?,,34,kras kita kras kita ....... ng yelo ..... kain tayo halohalo,"Jan 14, 2013",simplykhrizzie, 0.26, 600,,,,,
Personals,Anong gusto mong sabihin kay crush?,,31,"ang cute mo, kaya crush kita eh","Dec 5, 2012",greenlover99, 5.46," 11,937",,,,,
Personals,Anong gusto mong sabihin kay crush?,,36,"Crush, extremes ka talaga.. minsan napakasweet mo, minsan napaka suplado mo at di makapansin. haaay..","Mar 23, 2013",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,40,"hay nako kras, suplado ka na naman dahil bday mo.. hmpf.. hepi bday sayo today, D....","Mar 26, 2013",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,32,bat bigla kitang hndi nakita.. OFW ka na ba.. ?,"Dec 5, 2012",SUPERAZK, 0.16, 303,,,,,
Personals,Anong gusto mong sabihin kay crush?,,35,ganado na ako magtrabaho pag nakita kita hehe,"Jan 18, 2013",chocolove, 0.00, 8,,,,,
Personals,Anong gusto mong sabihin kay crush?,,37,"I realized na maybe, we are better off this way after the conversatio moments ago..pasensiya ka nat wala akong pangload..yagit ground level kasi ko","Mar 23, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,39,hi... ngiti naman jan pag napapasilip ka sa sulok ko dito sa opis... wag suplado... di uso yan... hayst...,"Mar 25, 2013",mluisaconti, 0.31, 612,,,,,
Personals,Anong gusto mong sabihin kay crush?,,33,"Crush, di ka pala photogenic.. mas gusto kita sa personal..","Jan 14, 2013",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,38,sana sabay ulit tayo sa train,"Mar 25, 2013",jomai_lacson, 0.08, 209,,,,,
Personals,Anong gusto mong sabihin kay crush?,,47,Sino kaya ang maswerteng kras ng Reyna ng KH?,"May 5, 2013",KingofDex, 0.24, 552,"^nice strategy ====== kras ko, asan kana?I miss your presence",katze_schmuse,,,
Personals,Anong gusto mong sabihin kay crush?,,41,"CRUSH,Wala akong pinag-aralan pero ginagamit ko ang kabobohan ko!! Eh Ikaw na may pinag-aralan,ginagamit mo ba ang katalinuhan mo??????????","Mar 31, 2013",alter_nik, 0.14, 241,,,,,
Personals,Anong gusto mong sabihin kay crush?,,46,"^ hmm..Mars sino yang crush mo? Hihihi =) OnT: Kahit lagi mo akong inaasar at sinusungitan, hihintayin ko pa rin pag-uwi mo","May 4, 2013",peanuts87, 0.30, 526,,,,,
Personals,Anong gusto mong sabihin kay crush?,,44,"Crush, himala, ikaw unang bumati sa akin kanina.. alin sa dalawa, dahil masama ang pakiramdam mo or dahil di na kita pinapansin? Hehe,, ..","May 3, 2013",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,42,"I like you, I really really like you Can I be your suitor","Apr 7, 2013",cyberjems, 1.49," 2,634",,,,,
Personals,Anong gusto mong sabihin kay crush?,,43,Wala naman,"Apr 17, 2013",maputik, 7.06," 12,299",,,,,
Personals,Anong gusto mong sabihin kay crush?,,45,"^nice strategy ====== kras ko, asan kana?I miss your presence","May 4, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,49,,"May 5, 2013",MrKupido, 0.64," 1,227",sleep tight freeder,SilverStreak,,,
Personals,Anong gusto mong sabihin kay crush?,,48,sleep tight crushie,"May 5, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,52,hey crushie nakita na naman kita!,"May 6, 2013",mochanne, 0.16, 437,sleep tight crushie,SilverStreak,,,
Personals,Anong gusto mong sabihin kay crush?,,51,ang sarap mo,"May 6, 2013",lady mint, 2.00," 6,687",,,,,
Personals,Anong gusto mong sabihin kay crush?,,50,secret,"May 6, 2013",katze_schmuse, 3.46," 6,742",Sino kaya ang maswerteng kras ng Reyna ng KH?,KingofDex,,,
Personals,Anong gusto mong sabihin kay crush?,,58,sobra kasi sa protein...bawasan mo sya,"May 6, 2013",SilverStreak, 0.17, 476,"Kras Ko, galit ka na naman?",mluisaconti,,,
Personals,Anong gusto mong sabihin kay crush?,,60,tnx LM,"May 6, 2013",MrKupido, 0.64," 1,227",ang sarap mo,lady mint,,,
Personals,Anong gusto mong sabihin kay crush?,,57,"Kras Ko, galit ka na naman?","May 6, 2013",mluisaconti, 0.31, 612,,,,,
Personals,Anong gusto mong sabihin kay crush?,,54,"crushie, kahit naman di ako tulog im always dreaming of you!","May 6, 2013",mochanne, 0.16, 437,,,,,
Personals,Anong gusto mong sabihin kay crush?,,55,crushie...crush na crush kita...7months na kitang crush,"May 6, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,53,"crushie, maya maya lang matutulog ka na..dream of me ha","May 6, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,59,ahhh... kaya pala sige na nga papa-refill na ako,"May 6, 2013",mluisaconti, 0.31, 612,sobra kasi sa protein...bawasan mo sya,SilverStreak,,,
Personals,Anong gusto mong sabihin kay crush?,,56,"Crushie, looking forward for the 8th month na pagiging crush kita","May 6, 2013",mochanne, 0.16, 437,,,,,
Personals,Anong gusto mong sabihin kay crush?,,65,Crush...sana matulog ka muna..ang eyebags mo oh,"May 9, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,61,Happy birthday crush! Get well soon. I love you!!! Can't wait to see you again,"May 7, 2013",caffeine_kittie, 2.25," 8,532",,,,,
Personals,Anong gusto mong sabihin kay crush?,,64,kinilig akong tunay nang makita ko na pinalakpakan mo ako after ng performance ko tumalon ang puso ko nang samahan mo ako sa stage at inakbayan mo ako ang bilis ng tibok ng puso ko nang ibigay mo upuan mo sa akin pagkababa ko ng stage ganito pala ang magka-crush nalimutan ko na kasi ang saya lang,"May 7, 2013",mluisaconti, 0.31, 612,,,,,
Personals,Anong gusto mong sabihin kay crush?,,66,Crush gusto ko sabay tayo matulog,"May 10, 2013",mochanne, 0.16, 437,Crush...sana matulog ka muna..ang eyebags mo oh,SilverStreak,,,
Personals,Anong gusto mong sabihin kay crush?,,62,guapo niya grabe,"May 7, 2013",sexyjoyce01, 0.87," 1,523",,,,,
Personals,Anong gusto mong sabihin kay crush?,,63,"for you crushie You make me smile like the sun Fall outta bed Sing like a bird Dizzy in my head Spin like a record Crazy on a Sunday night You make me dance like a fool Forget how to breathe Shine like gold Buzz like a bee Just the thought of you can drive me wild Oh, you make me smile see you in a few","May 7, 2013",beach_babe, 1.80," 5,090",,,,,
Personals,Anong gusto mong sabihin kay crush?,,67,paq u ka!!! BAKLA!,"May 10, 2013",spooktwo, 0.82," 1,634",,,,,
